disease	node_num	prob_mean	zscore	zscore_mod
Amyotrophic Lateral Sclerosis	251	0.00324452922559303	9.92906179718096	14.3757144638097
Motor Neuron Disease	254	0.00286841130109285	8.59692377079898	12.4884011465452
Spastic Paraplegia, Hereditary	46	0.00195802817466438	5.3725201933745	7.9202109955319
Muscular Atrophy	36	0.00192351728772377	5.25028920723136	7.74703962487683
Charcot-Marie-Tooth Disease	55	0.00182115455343549	4.88773990567638	7.23339605984174
Paraplegia	55	0.00181427980712193	4.86339086408737	7.19889943145679
Frontotemporal Dementia	90	0.00170546527144789	4.47799051129346	6.65288152347627
Proteostasis Deficiencies	76	0.00163814199175267	4.23954428179794	6.31506161632998
HELLP Syndrome	34	0.00154955828998289	3.92579768808796	5.87055953559333
Frontotemporal Lobar Degeneration	89	0.00150524686220972	3.76885505362468	5.64821026081617
Pregnancy Complications, Cardiovascular	45	0.00146650402294703	3.6316352986757	5.45380347579979
Arteriovenous Fistula	32	0.00145539630806076	3.59229388891472	5.39806633363328
Gastrointestinal Hemorrhage	35	0.0014201008897642	3.46728424218654	5.22095828147641
Dementia, Vascular	57	0.00141736809823828	3.45760521528376	5.20724547093424
Muscle Weakness	102	0.00141155454409025	3.43701471415488	5.17807377384274
Coronary Thrombosis	42	0.00133160971009763	3.15386534413775	4.77692046523272
Graft Occlusion, Vascular	31	0.00130324825033714	3.05341445740894	4.63460616108422
Hyperlipoproteinemia Type II	75	0.00128368462756004	2.98412383301289	4.53643831691613
Oral Submucous Fibrosis	34	0.00126575553158197	2.92062239111064	4.44647232646009
Multiple System Atrophy	56	0.00123913885388116	2.82635119000178	4.31291312331168
Leukoaraiosis	31	0.0012317254563626	2.80009434847454	4.275713609671
Constriction, Pathologic	104	0.00120782885885843	2.71545715316206	4.15580343318351
Memory Disorders	114	0.00119728506513743	2.67811304472387	4.10289597781405
Leg Ulcer	37	0.00117250761258276	2.59035602865288	3.97856577941562
Brain Damage, Chronic	62	0.00117244669535407	2.59014027143551	3.97826010428169
Nerve Degeneration	45	0.00116286414446808	2.55620070197221	3.93017604680284
Anoxia	130	0.00114830468121822	2.50463385717314	3.85711845743057
Aphasia	32	0.00114703159023411	2.50012481147095	3.85073024402223
Hypertension, Portal	32	0.00114037695117144	2.47655534782733	3.81733808665232
Activated Protein C Resistance	38	0.00113958714392039	2.47375800102702	3.81337493136009
